Bajra,833.9,20.92,6.3
Banana,841.8,20.18,6.3
Barley,841.8,20.18,6.3
Bean,814.5,20.65,6.3
Black pepper,849.5,18.22,6.3
Blackgram,814.5,20.65,6.3
Bottle Gourd,814.5,20.65,6.3
Brinjal,833.9,20.92,6.3
Cardamom,860.4,18.09,6.3
Carrot,841.8,20.18,6.3
Castor seed,849.5,18.22,6.3
Cauliflower,841.8,20.18,6.3
Chillies,833.9,20.92,6.3
Coriander,833.9,20.92,6.3
Cotton,841.8,20.18,6.3
Cowpea,844.2,19.13,6.3
Ginger,860.4,18.09,6.3
Grapes,841.8,20.18,6.3
Groundnut,833.9,20.92,6.3
Guar seed,833.9,20.92,6.3
Horse-gram,849.5,18.22,6.3
Jowar,833.9,20.92,6.3
Jute,841.8,20.18,6.3
Khesari,841.8,20.18,6.3
Lady Finger,814.5,20.65,6.3
Lentil,833.9,20.92,6.3
Linseed,844.2,19.13,6.3
Maize,849.5,18.22,6.3
Mesta,841.8,20.18,6.3
Moong(Green Gram),814.5,20.65,6.3
Moth,833.9,20.92,6.3
Onion,841.8,20.18,6.3
Orange,841.8,20.18,6.3
Papaya,1554.2,20.09,6.3
Peas & beans (Pulses),833.9,20.92,6.3
Potato,833.9,20.92,6.3
Raddish,814.5,20.65,6.3
Ragi,841.8,20.18,6.3
Rice,844.2,19.13,6.3
Safflower,841.8,20.18,6.3
Sannhamp,844.2,19.13,6.3
Sesamum,841.8,20.18,6.3
Soyabean,841.8,20.18,6.3
Sugarcane,1554.2,20.09,6.3
Sunflower,841.8,20.18,6.3
Sweet potato,844.2,19.13,6.3
Tapioca,844.2,19.13,6.3
Tomato,841.8,20.18,6.3
Turmeric,860.4,18.09,6.3
Urad,833.9,20.92,6.3
Varagu,841.8,20.18,6.3
Wheat,833.9,20.92,6.3
